proverb,meaning,used,index
de hand over zijn hart strijken,voor één keer toestaan,,1911
het middel is erger dan de kwaal,de oplossing veroorzaakt nog meer schade,,1912
quod attestor,zo getuig ik,,1913
er met de botte bijl op inhakken,ruw te werk gaan,,1914
zijn hoed staat op halfzeven.,hij is dronken.,,1915
het in tienen geven,wedden dat de aangesprokene het niet kan,,1916
water in de zee dragen,iets totaal zinloos doen,,1917
van meet af aan (zijn),vanaf het eerste begin,,1918
met bed en bult,met alles wat men bijeen kan pakken op reis gaan,,1919
een oogje dichtdrukken/toeknijpen/luiken,niet optreden tegen iets wat eigenlijk niet mag. Iets gedogen,,1920
"je kunt wel dansen, ook al is het niet met de bruid",je kunt je best amuseren ook al is het niet altijd precies wat je zou willen,,1921
"wat het oog niet ziet, wat het hart niet deert",wat je niet ziet en niet weet heb je ook geen last,,1922
van nul en generlei waarde,waardeloos,,1923
iemand de wet stellen,iemand iets opdragen te doen,,1924
een vinger in de pap hebben,"ergens iets in te zeggen hebben, invloed hebben",,1925
aan de pan gelikt hebben,slecht terechtkomen of veel schade hebben,,1926
zijn mannetje kunnen staan,zich goed kunnen verdedigen,,1927
tussen de wal en het schip geraken,"in de knel komen, iets raakt per ongeluk verloren of zoek",,1928
voor iets moeten bloeden,de gevolgen moeten dragen,,1929
te goeder naam en faam bekend staan,bekend staan voor goede dingen,,1930
Van de os op de ezel springen,1: Slechte zaken doen. 2: Tegenspoed kennen,,1931
er geen tekeningetje bij moeten maken,het is overduidelijk,,1932
zoals de ouden zongen piepen de jongen,de jongeren leren het van de ouderen,,1933
iemand de hand boven het hoofd houden,iemand in bescherming nemen,,1934
de bokken van de schapen scheiden,de goeden van de kwaden scheiden,,1935
het zuur hebben,er een hekel aan hebben,,1936
leven als vrienden en rekenen als vijanden,vriendelijk met elkaar omgaan uit een soort van formaliteit maar eigenlijk helemaal niet zo op elkaar gesteld zijn,,1937
het kwaad loont zijn meester,"wie kwaad doet, kwaad ontmoet",,1938
uit alle hoeken en gaten,van alle kanten,,1939
zich een stoel in de hemel verdienen,zich door een goed werk onderscheiden,,1940
zijn eigen luizen bijten hem,hij wordt gekweld door zijn eigen kinderen,,1941
een oud paard van stal halen.,wat men vroeger al eens heeft laten horen nog eens ten beste geven.,,1942
bij moeders pappot,thuis,,1943
met hem kun je gaan vissen,een prettig persoon in de omgang,,1944
angst is een slechte raadgever.,laat je niet leiden door angst. / Emoties zijn gevaarlijk.,,1945
de prins spreken,dronken zijn,,1946
de meitak op een werk zetten,het werk afmaken,,1947
naar de mutsaard rieken,iets klopt zeer niet (mutsaard = brandstapel) / verdacht worden van ketterij,,1948
daar kan de schoorsteen niet van roken,dat brengt niets op / men kan niet alleen van vriendelijke woorden leven,,1949
iemand iets in het oor fluisteren,"iemand iets zachtjes zeggen, heimelijk laten weten",,1950
de teerling is geworpen.,niet meer terugkunnen door de genomen stap,,1951
gouden handdruk,grote afscheidspremie,,1952
een nieuwsgierig aagje.,een nieuwsgierig persoon.,,1953
met de ene voet in het graf staan,bijna dood zijn,,1954
wijd en zijd zijn,bij iedereen bekend zijn,,1955
jantje secuur,iemand die uiterst nauwgezet werkt,,1956
goede raad is goud waard,met goede aanwijzingen kan je heel veel doen,,1957
het is zo lang als het breed is,"het blijft hetzelfde, hoe je het ook bekijkt",,1958
het bekomt hem als de hond de knuppel na het stelen van de worst,het valt hem zwaar tegen,,1959
wat heb ik nou aan mijn fiets hangen?,wat gebeurt er nu voor iets raars?,,1960
dat is een rijkeluiswens,iets waar heel erg naar wordt verlangd,,1961
van lotje getikt zijn,niet goed bij het verstand zijn,,1962
geen zoden aan de dijk brengen/zetten,niets bijdragen tot,,1963
"ongevraagd, ongeweigerd",als je iets doet waarvoor geen toestemming is gevraagd kan het achteraf niet meer geweigerd worden omdat het al gebeurd is,,1964
de muren hebben oren,er kan ongewenst worden meegeluisterd door anderen,,1965
die zit,dat is raak!,,1966
de lamp hangt scheef,het geld is op,,1967
witte paarden hebben veel stro nodig,pronkzieke vrouwen kosten veel geld,,1968
dat kan ik wel in mijn holle kies stoppen,dat is wel een heel klein beetje,,1969
zo sterk als een paard,oersterk,,1970
zijn woorden inslikken,niet uitspreken,,1971
zo helder als koffiedik,"niet helder, niet duidelijk",,1972
een put maken om een andere te vullen,met de ene lening de vorige afbetalen,,1973
iemand de brokken in de mond tellen,iemand iets helemaal niet gunnen,,1974
Eten is een goed begin: het ene beetje brengt het ander in.,Letterlijke betekenis.,,1975
aan de rand van het ravijn bloeien de mooiste bloemen,de beste resultaten dragen tegelijkertijd de grootste risico`s,,1976
geen groot licht zijn,niet al te slim zijn,,1977
de grote klok luiden,op opvallende wijze bekend maken,,1978
spijkers met koppen slaan,doortastend optreden,,1979
Daar staan klompen,Tevergeefs wachten,,1980
dat sluit als een haspel in een zak,dat raakt kant noch wal,,1981
"Als het hooi het paard volgt, dan wil het gegeten zijn.",Huwbare meisjes moeten niet achter de vrijer aanlopen.,,1982
iets op touw zetten,iets organiseren,,1983
"het is kruis of munt, zei de non en ze trouwde de bankier",een keuze voor het materiële kan ten koste gaan van het spirituele,,1984
wat men afdingt is het eerst betaald,"als men het goedkoop krijgt, is het vlugger betaald",,1985
het verstand komt met de jaren,"naarmate je ouder wordt, word je wijzer en verstandiger",,1986
"als apen hoger klimmen willen, ziet men gauw hun blote billen","iemand die meer wil dan hij kan, maakt zich snel belachelijk",,1987
uit de pot van Egypte eten,nog thuis eten bij de ouders die voor je zorgen,,1988
aan de pimpel zijn,sterkedrank drinken,,1989
volgens het boekje,overeenkomstig de theorie of overeenkomstig de voorschriften,,1990
het hooi op de gaffel krijgen,het wel gedaan krijgen,,1991
iemand naar de maan wensen,iemand verwensen,,1992
zijn woorden kauwen,eerst nadenken en dan pas spreken,,1993
"zonder strijd, geen overwinning",na grote inspanning wordt succes pas bereikt,,1994
groen en geel voor de ogen worden,duizelen en/of erg van schrikken,,1995
om vliegen te vangen,om te luieren (niets te doen),,1996
"morgenrood, regen in de sloot",weerspreuk : rood opkomende zon betekent vaak regen,,1997
iemand geen vingerbreed in de weg leggen,"iemand niets in de weg leggen , absoluut niet hinderen",,1998
Daar zijn de daken met vlaaien bedekt,Daar is men rijk / Daar heeft men overvloed,,1999
een wigge drijven tussen,een splitsing of misverstand bewerken,,2000
daar is geen woord Frans/Latijn/Chinees bij,iedereen kan dat begrijpen,,2001
de lont in het kruit steken/werpen,een uitbarsting veroorzaken,,2002
de mussen vallen (dood) van de daken,het is snikheet,,2003
zich met iemand meten,met iemand wedijveren,,2004
hoog opnemen,zeer kwalijk nemen,,2005
onder iemands duiven schieten,klanten van een ander overhalen om klant te worden bij jou,,2006
overhoop liggen,ruzie met elkaar hebben,,2007
schenking met de warme hand,schenken terwijl men nog leeft (erfenissen),,2008
ijskoud zijn gang gaan,zich nergens van aantrekken,,2009
iemand in zijn eigen sop gaar laten koken,iemand aan zijn lot overlaten (iemand die iets niet goed gedaan heeft),,2010
aan het langste eind trekken,in de voordeligste positie zijn,,2011
met de hersens van een garnaal,erg dom,,2012
met kunst- en vliegwerk,niet volgens de normale gang van zaken,,2013
iemand tegen zich in het harnas jagen,iemand door eigen toedoen boos maken,,2014
voor ogen ,er steeds weer aan denken,,2015
prijs stellen op,"weten te waarderen, graag willen",,2016
met open armen ontvangen,erg hartelijk ontvangen worden,,2017
de rijzende zon aanbidden,in de gunst trachten te komen van iemand die succesvol is,,2018
een garnaal heeft ook een hoofd,schertsend gezegd van een kind dat koppig aan zijn mening vasthoudt,,2019
iesus hominum salvator,jezus de redder der mensheid,,2020
iemand aan het lijntje hebben,meewerken met iemand,,2021
honi soit qui mal y pense,schande over hem die er kwaad over denkt,,2022
de molen is/loopt door de vang,de zaak of persoon is in de war (gek),,2023
goed van aannemen,verstandig,,2024
hij is een Piet Lut,hij is kleinzerig,,2025
van de bok op de ezel gaan,snel van onderwerp wisselen zonder rode draad,,2026
iemand iets aansmeren,iemand iets (weinig waardevols) verkopen,,2027
liever te dik in de kist dan een feestje gemist,plezier hebben is belangrijker dan lang leven,,2028
ergens geen kijk op hebben,de oplossing niet zien,,2029
tegen iets aanhikken,met tegenzin doen,,2030
iemand het licht in de ogen niet gunnen,iemand absoluut niet kunnen verdragen,,2031
mal moertje mal kindje,als de moeder te veel toegeeft zal het kind niet deugen,,2032
het oog wil ook wel wat,het uiterlijk van iets speelt ook een rol,,2033
de moed in de schoenen doen zinken,wanhopig worden en de moed verliezen,,2034
een vogel voor de kat,"een hulpeloos slachtoffer, dat niet meer gered kan worden",,2035
de sokken erin zetten,hard weglopen,,2036
een (goede) neus voor iets hebben,precies aanvoelen hoe iets moet of gaat,,2037
gapen als een oester,met de mond wijd open geeuwen,,2038
zijn zeis in een anders koren slaan,"stelen, zich in het werk van iemand anders bemoeien",,2039
als een nachtkaars uitgaan,in een gestaag tempo minder worden en eindigen,,2040
een echte Hannes,een onhandig persoon,,2041
kap en keuvel,de hele boel,,2042
dat ligt hem in zijn mond bestorven,daar spreekt hij veel over,,2043
ergens de handen voor op elkaar krijgen,ergens steun (applaus) voor krijgen,,2044
op de boom verkopen,boomvruchten verkopen voor ze geplukt zijn,,2045
ketters wonen het dichtst bij de paus,de beste vrienden van een machtig man zijn vaak zijn grootste vijanden,,2046
alles over een kam scheren,alles en iedereen gelijk stellen,,2047
iemand iets in het oor bijten,iemand iets op bitsige wijze influisteren,,2048
een hak zetten,iemand benadelen of dwarszitten,,2049
olie in het vuur gooien.,iets doen waardoor de ruzie opnieuw begint of oplaait,,2050
van hand tot tand leven.,uitsluitend in de meest elementaire levensbehoeften kunnen voorzien. / Het verdiende meteen weer uitgeven.,,2051
de grond onder zich voelen wegzinken,"beschaamd zijn , geen oplossing meer zien",,2052
dat is lariekoek,dat heeft iemand verzonnen,,2053
iets voor zijn verantwoording nemen,iets op zich nemen,,2054
in echec houden,in bedwang houden,,2055
ze waren fout.,collaborateurs en fascisten gedurende de Tweede Wereldoorlog.,,2056
er geen doekjes om winden,de waarheid onverbloemd vertellen,,2057
een draai geven,het anders - minder negatief klinkend - uitdrukken,,2058
bepakt en bezakt,klaar staan met bagage,,2059
rijd voort voerman maar zie om,doe verder maar blijf wel opletten,,2060
een gesloten boek,iets wat niet te doorgronden is,,2061
het masker afdoen/afleggen/afnemen,zijn ware gezicht tonen,,2062
in partibus infidelium,in het land der ongelovigen,,2063
"'t Moet al een ruige hond wezen, die twee nesten warm houden kan",alleen een rijke man kan er een tweede vrouw op na houden,,2064
Nood doet zelfs oude vrouwen rennen,Een onverwachte situatie kan verrassende kwaliteiten naar boven brengen (vergelijkbaar met `angst geeft vleugels`),,2065
Een vette bek halen.,Goed eten.,,2066
iemand vol lood pompen,iemand genadeloos neerschieten,,2067
het zout in de pap verdienen,heel weinig verdienen,,2068
iemand in de luren leggen,iemand bedriegen of misbruiken,,2069
de oude mens afleggen,een nieuw leven beginnen - beterschap beloven,,2070
als een tang op een varken passen/sluiten,niet bij elkaar passen,,2071
voor lief nemen,aanvaarden,,2072
op je achterste benen gaan staan.,boos worden; ergens fel tegen protesteren; het ergens helemaal niet mee eens zijn.,,2073
aan de leiband lopen,erg volgzaam zijn,,2074
lector benevolente,de welwillende lezer,,2075
hij ziet ze vliegen.,niet goed bij het verstand zijn,,2076
ergens geen hout van snappen,er niets van begrijpen,,2077
buurmans leed troost.,door het verdriet of de pijn van een ander kun je je eigen verdriet en pijn beter verdragen,,2078
bij gebrek aan brood eet men korstjes van pasteien,"bij gebrek aan het goedkope, het dure gebruiken",,2079
in de luwte vallen,op minder luide toon verder praten,,2080
ten hemel schreiend,een toestand die zo erg is dat er eigenlijk direct iets aan gedaan zou moeten worden,,2081
onder de vleugels nemen,onder zijn hoede nemen,,2082
het op je boterham krijgen,een stevig standje incasseren,,2083
balen als een stier,er een gloeiende hekel aan hebben,,2084
goed voorgaan doet goed volgen,"als je zelf op de goede manier handelt, nemen anderen dat vanzelf over",,2085
iemand het brood uit de mond nemen/stoten,iemand het onmogelijk maken om in eigen inkomen te kunnen voorzien,,2086
door de bril van een ander zien,de mening van een ander blind vertrouwen,,2087
een sfinx zijn.,typisch zijn.,,2088
geef mijn fiets terug,"grapje om Duitsers te wijzen op de Tweede Wereldoorlog, toen er veel fietsen geconfisqueerd werden.",,2089
dat zit wel snor.,dat komt wel goed.,,2090
hij vaart de haring over de kop,hij schiet zijn doel voorbij,,2091
moet je heen hooien?,heb je geen tijd?,,2092
zijn penaten ergens vestigen,zich vestigen (zich ergens thuis voelen),,2093
je weet nooit hoe een koe een haas vangt.,het kan altijd wel eens lukken,,2094
achter iets zitten,er de oorzaak van zijn,,2095
iemand van het kastje naar de muur sturen,iemand voor niets heen en weer laten lopen,,2096
een oud wijf zijn,zich niet flink gedragen - zeuren,,2097
over de hoge schoenen lopen,te ver gaan of niet realistisch zijn,,2098
op zijn tabbaard/tabberd zitten,afranselen,,2099
iemand een oor aannaaien,iemand oplichten,,2100
met de muts naar iets gooien,"ergens geen zorg aan besteden / er een slag naar slaan, ernaar raden",,2101
geen vin verroeren,geen poot uitsteken,,2102
met zijn gat in de boter vallen,(onverwacht) goed terechtkomen,,2103
hoc anno,in dit jaar,,2104
een snor aan hebben,lichtjes dronken zijn,,2105
ergens zijn neus voor optrekken,zich te goed vinden om iets te doen,,2106
"Hij geeft er niet om wiens huis in brand staat, als hij zich maar aan de gloed kan warmen","Hij doet overal voordeel mee, ongeacht de gevolgen voor anderen",,2107
sine loco et anno,zonder opgave van plaats en jaartal,,2108
met de konijnen door de tralies kunnen eten,zeer mager zijn,,2109
in iemands schaduw staan,niet opvallen omdat iemand anders meer opvalt,,2110
om door een ringetje te halen,keurig netjes,,2111
goed boeren / goed geboerd hebben,"succesvol geweest zijn, vooral financieel",,2112
op hoge poten,"zeer boos, verontwaardigd",,2113
Voor de wind is het goed zeilen,Onder gunstige omstandigheden is het gemakkelijker succes te hebben,,2114
muizenissen in het hoofd,zorgen,,2115
een zwak voor iets of iemand hebben,iets/iemand leuk of aardig vinden,,2116
met een schone lei beginnen,"opnieuw mogen beginnen, zonder dat misstappen uit het verleden nog zichtbaar zijn",,2117
naar binnen spelen,opeten,,2118
Iedereen moet zijn last dragen,Ieder heeft zijn problemen,,2119
de bakens verzetten,van richting of ingesteldheid veranderen,,2120
dominee brand je bekje niet,pas op! Het eten of de drank is heet!,,2121
een land van melk en honing zijn,een land waar het goed en voorspoedig leven is,,2122
een rad voor de ogen draaien,iets wijsmaken,,2123
laten waaien,"verwaarlozen, zich er niets van aantrekken",,2124
zo gezond als een vis,heel gezond,,2125
de derde man brengt de spraak aan,drie hebben gemakkelijker een gesprek dan twee,,2126
op de reutel,op afbetaling,,2127
"aan een balk, die uit het bos gehaald wordt, moet veel gehakt worden, voor hij in het huis past","in een religieuze groep, vereniging, etc,: je kunt leden uit een gemeenschap winnen, maar hun moet wel geleerd worden zich aan te passen",,2128
op de kaart zetten,gemaakt tot iets waar rekening mee gehouden wordt. ,,2129
Dat kan het paard niet trekken. ,Daar heb ik onvoldoende geld voor,,2130
mijn verstand staat er bij stil,dat begrijp ik helemaal niet,,2131
"aan een boom zo vol geladen, mist men een twee pruimpjes niet. (Naar Hieronymus van Alphen)","als er van iets grote hoeveelheden zijn, kan er wel wat gemist worden.",,2132
een doekje voor het bloeden,een inadequate maatregel / een (schrale) troost,,2133
met de gebakken peren blijven zitten,voor de moeilijkheden opdraaien,,2134
"als katten muizen, mauwen ze niet.","wanneer je aan het eten bent, praat je niet zoveel.",,2135
aan de tand voelen,onderzoeken - ondervragen,,2136
tussen de vier muren,in een kamer opgesloten,,2137
de wind waait uit die hoek,op een bepaalde manier de bedoeling zijn,,2138
met twee maten meten,niet voor alles of iedereen even streng zijn,,2139
tot in de puntjes regelen,alles nauwkeurig regelen,,2140
bij de pinken zijn,"snel dingen begrijpen, Handig en flink zijn, Vroeg opstaan",,2141
de beste breister kan wel eens een steek laten vallen,ieder maakt wel eens een fout,,2142
in de piepzak zitten,"geen oplossing weten, Bang zijn voor de gevolgen",,2143
iemand iets in de schoenen schuiven.,iemand aanwijzen als de schuldige of als de verantwoordelijke voor een mislukking.,,2144
het krijt ruimen,"de strijd opgeven, weggaan",,2145
de bokkenpruik op hebben,slecht gehumeurd zijn,,2146
"'t Moet al een ruige hond wezen, die twee nesten warm houden kan.",alleen een rijke man kan er een tweede vrouw op na houden.,,2147
iemand het hoofd bieden,iemand weerstaan,,2148
uit de koets vallen,ontnuchterd worden,,2149
iemand kunnen verraden en verkopen,iemand veel te slim af zijn,,2150
goedkoop is duurkoop.,"iets goedkoops kan later kosten veroorzaken, bijvoorbeeld door slechte werking, reparaties of onderhoud.",,2151
zo dronken als een kartouw,stomdronken,,2152
iemand in het gareel slaan,iemand dwingen voor je te werken,,2153
achter de schermen blijven,geen bekendheid ergens mee willen krijgen terwijl diegene het wel bedacht heeft,,2154
van Lillo komen.,je dom houden. Volgens de overlevering vindt dit gezegde zijn oorsprong in het (ontkennende) gedrag van de inwoners van Fort Lillo na een aan hen toegeschreven roofoverval op een boerderij te Waarde in 1579.,,2155
beneden alle peil,stijlloos,,2156
een kolfje naar zijn hand,iets dat hij erg graag doet,,2157
"lieg ik, dan lieg ik in commissie",als ik niet de waarheid vertel komt dat omdat ik niet beter weet of vertel wat anderen vertellen,,2158
een doorn in het oog zijn,ergens aan ergeren,,2159
akte van iets nemen,er nota van nemen - onthouden,,2160
voor paal/schut staan,een blunder begaan voor de ogen van anderen (en schamen),,2161
in de kijker lopen,opvallen,,2162
het muist al wat van katten komt,ieder volgt zijn karakter,,2163
ergens aan bekocht zijn,een slechte koop doen,,2164
voor geen geld ter wereld,"niet bereid zijn tot iets, hoeveel er ook voor geboden wordt",,2165
een katje krijgen,een uitbrander krijgen,,2166
Een gehuurd paard en eigen sporen maken korte mijlen. ,Men is geneigd andermans spullen te misbruiken,,2167
het is er zo veilig als vlees in een hondenkot,het is er volkomen onveilig,,2168
een dijk van een baan,een geweldige baan,,2169
captie maken,bezwaren/aanmerkingen maken,,2170
de gestadige jager wint.,regelmatig doorzetten geeft het beste resultaat.,,2171
op touw zetten.,een actie of iets dergelijks tot stand brengen of in gang zetten.,,2172
in het wilde weg,zonder overleg,,2173
als een donderslag bij heldere hemel,"een onverwachte gebeurtenis, die een grote schok teweeg brengt",,2174
van hetzelfde laken een pak,dezelfde soort aanpak of respons.,,2175
"spiering is ook vis, als er niets anders is",bij gebrek aan beter,,2176
zo snel als een slak op een teerton.,erg langzaam.,,2177
op een oor na gevild zijn,bijna in orde zijn,,2178
in mora,in gebreke,,2179
iemand naar zijn hand zetten,iemand precies laten doen wat hij wil,,2180
met het badwater het kind weggooien,het goede met het slechte weggooien,,2181
had je me gisteren gehuurd dan was ik vandaag je knecht geweest,je moet zo niet commanderen - dat doe ik gewoon niet!,,2182
een geeltje van de plank nemen,een oude preek herhalen,,2183
iets uit het hoofd laten.,"het vaste voornemen hebben om iets na te laten, iets niet doen.",,2184
"boompje groot, plantertje dood.",sommige dingen hebben effecten die je niet kunt voorzien.,,2185
Je ziet eruit als een afgegoten patat,Katerig,,2186
er geen been in zien,geen bezwaar onderkennen. Er niet voor terugschrikken,,2187
op streek helpen,op gang helpen,,2188
er een loodje op leggen,er iets aan toevoegen,,2189
de kop in het zand steken,doen alsof er geen gevaar dreigt en er niets aan doen,,2190
een hazeslaapje,"een slaap, die zo licht is, dat men bij 't minste geluid wakker wordt",,2191
Tot over je oren in het werk zitten,heel veel werk hebben,,2192
zo fijn als gemalen poppenstront.,zeer streng rechtzinnig,,2193
ter ziele zijn / Ter ziele gaan,"gestorven zijn of sterven, ook figuurlijk: iets dat niet meer bestaat of actief is",,2194
rozen voor de varkens/zwijnen strooien,iets goed doen voor mensen die dat niet waarderen,,2195
goed gereedschap is het halve werk.,door de juiste hulpmiddelen te gebruiken wordt het karwei snel geklaard,,2196
iemand iets door de neus boren,ervoor zorgen dat iemand iets niet krijgt,,2197
in het licht geven,uitgeven - publiceren,,2198
iemand in het zonnetje zetten,"iemand op positieve wijze aandacht geven, iemand eer bewijzen",,2199
op zijn qui vive zijn,goed opletten,,2200
rijd voort maar zie om,doe verder maar blijf opletten,,2201
overstag gaan,na aandringen/lang er mee wachten toegeven,,2202
met een kennersblik bekijken,met kennis van zaken beoordelen,,2203
als een pilaarheilige,"onbeweeglijk, stijf",,2204
"het leven is net een krentenbol, met af en toe een hard stukje",het leven is niet een en al geluk maar kent soms ook tegenslag,,2205
hij kijkt er naar uit als de pastoor naar het geld in het kerkenzakje,hij kijkt ergens vol verwachting naar uit,,2206
het is wit,ze komen goed overeen,,2207
op een droogje zitten,op visite zijn en niks te eten of drinken krijgen,,2208
"als je hem een vinger geeft, neemt hij de hele hand","als je iemand een beetje helpt, wil diegene altijd je hulp",,2209
waarheid met de slag om de arm,een waarheid die vele facetten kent,,2210
geld ophoesten,met tegenzin of met moeite betalen,,2211
"aan een boom zo vol geladen, mist men een twee pruimpjes niet. (Naar Hieronymus van Alphen)","als er van iets grote hoeveelheden zijn, kan er wel wat gemist worden",,2212
titanenarbeid verrichten,erg zwaar werk doen,,2213
eieren voor je geld kiezen,met minder genoegen nemen dan men eerder wilde,,2214
op de schobberdebonk leven,dakloos zijn en/of bedelend leven,,2215
al krijg ik geld mee!,dat doe ik beslist niet!,,2216
de Mammon dienen,alleen maar belangstelling hebben voor geld,,2217
met het water voor de dokter komen,zeggen wat je bedoelt,,2218
in extremis,op het nippertje,,2219
je kop in het zand steken,doen alsof iets (een probleem) er niet is,,2220
het kind van de rekening,"degene die schade lijdt, terwijl anderen niets hebben",,2221
"men kan niet door een muur lopen, behalve als er een deur in zit",dingen kunnen alleen gedaan worden als er een reële kans toe is,,2222
op grote schaal,"in het groot , zeer veel voorkomend",,2223
van zijn veren laten,van zijn eer kwijtraken,,2224
iemand op de proef stellen,iemand testen om te zien of die te vertrouwen is of het aan kan,,2225
Je hebt luxe paarden en werkpaarden. ,Je hebt rijke en arme mensen,,2226
op de bonnefooi/bof,op goed geluk,,2227
iemand uit de brand helpen,iemand uit de nood helpen,,2228
een baard in de keel hebben/krijgen,een zwaardere (mannen)stem krijgen,,2229
het is een pot nat.,het is allemaal hetzelfde.,,2230
"wie de pastoor niet eert, wie zijn absolutie riskeert","om je ambitie te bereiken, moet je extra aardig zijn voor de hoge heren.",,2231
ergens een vuile pijp aan roken,er veel nadeel van ondervinden,,2232
naar Canossa gaan,zich aan een ander onderwerpen,,2233
via de achterdeur.,"indirect, onopgemerkt, stiekem.",,2234
een snee(tje) in het oor hebben,dronken zijn,,2235
ruggespraak houden,eerst ergens over moeten overleggen,,2236
het liedje is uitgezongen,het is afgelopen,,2237
kunnen missen als kiespijn,veel liever niet hebben,,2238
"twaalf ambachten, dertien ongelukken","wie telkens van beroep verandert, slaagt uiteindelijk nergens in",,2239
met het blote oog,"met het oog te zien, zonder hulpmiddelen",,2240
verbi causa,bijvoorbeeld,,2241
ergens slag van hebben,iets handig kunnen doen,,2242
dat kan al het water van de zee niet afwassen,daar is niets aan te doen - dat kan je niet wegpraten,,2243
gauw op de teentjes getrapt zijn,erg gauw boos en beledigd zijn,,2244
feestelijk danken,er voor danken maar het zeker niet aannemen,,2245
alleen een piepend wiel krijgt olie,door zich opvallend te gedragen bekomt men aandacht,,2246
huilen als een hofhond,erbarmelijk tekeer gaan,,2247
"hoe hoger het hart, hoe lager de ziel (uit het Fries)",hoogmoed is het kenmerk van een dwaas,,2248
niet geschoten is altijd mis,"als je het niet probeert, komt er ook niks van",,2249
stille waters/wateren hebben diepe gronden,zij die weinig zeggen hebben vaak het onvoorspelbaarste karakter,,2250
zich (te) sappel maken,zich (te) druk over iets maken,,2251
ergens een puntje aan kunnen zuigen,er een goed voorbeeld aan kunnen nemen,,2252
niet veel om de hakken,niet veel bijzonders,,2253
"wie plast tegen de kerk, gaat gevaarlijk te werk",een wandaad met verstrekkende gevolgen,,2254
iets bij de roes kopen,iets kopen in de staat zoals het is,,2255
als niet komt tot iet kent iet zichzelf niet,een 'parvenu' heeft dikwijls kapsones,,2256
in de kiem smoren,al van bij het begin doen stoppen,,2257
gepokt en gemazeld zijn,al veel ervaring hebben,,2258
aan de man brengen/helpen,verkopen,,2259
veel in huis hebben,over veel capaciteiten beschikken,,2260
roomser dan de paus zijn,zich overdreven precies aan de regels houden,,2261
de egards (tegenover iemand) in acht nemen,met de nodige beleefdheid behandelen,,2262
aan het (sleep)touw houden,bezig houden / aan het lijntje houden,,2263
"zoals het klokje thuis tikt, tikt het nergens",het is nergens zo goed als thuis,,2264
per couvert,onder omslag,,2265
zijn vel duur verkopen,het slechts onder de grootste druk opgeven,,2266
ergens een punt achter zetten,er voorgoed mee stoppen,,2267
Je bent om op te eten (met boter en suiker).,"Beeldig, snoezig, hartveroverend, snoeperig.",,2268
bij Neck om naar Den Haag,een onnodige omweg maken,,2269
het is hommeles,het is daar niet in orde,,2270
als haringen in een ton zitten,zich erg dicht op elkaar bevinden,,2271
een leven als een oordeel,een verschrikkelijk lawaai,,2272
"Aan de ene voet een schoen, de ander blootvoets",Evenwicht is voornaamst,,2273
alle heilige huisjes aandoen,alle cafés bezoeken,,2274
"niet om de knikkers, maar om het spel","het gaat niet om het winnen, maar om het spel",,2275
de hand lenen tot,helpen,,2276
een goede beurt maken,"iets heel goed doen, een goede indruk maken",,2277
"hoe meer zielen, hoe meer vreugd","hoe meer mensen er bij zijn, hoe leuker dat het is",,2278
gehoor weigeren,niet ingaan op,,2279
een visje uitgooien,proberen of ergens belangstelling voor bestaat,,2280
geen knip voor de neus waard zijn,zijn vak niet kennen en er geen verstand van hebben,,2281
een beurt krijgen,onderhanden genomen worden,,2282
ergens geen speld tussen kunnen krijgen,"iets klopt precies, geen gelegenheid krijgen in een gesprek ertussen te komen",,2283
de voorsten doen wat de achtersten niet mogen,wie eerst komt is in het voordeel,,2284
uit de hengstebron gedronken hebben,erg veel gedichten schrijven,,2285
de slappe lach hebben/krijgen,niet kunnen stoppen met lachen,,2286
droge stokvis,een houterig iemand,,2287
te pas en te onpas,"steeds opnieuw, of het nu zin heeft of niet",,2288
geen nagel hebben om zijn gat te krabben,heel erg arm zijn,,2289
iemand de ogen uitsteken,"iemand jaloers maken door de aandacht te vestigen op iets wat men heeft, en wat de ander ontbreekt",,2290
het klopt als een bus,deze uitdrukking is een contaminatie van het sluit als een bus met: het klopt als een zwerende vinger,,2291
het bij het goede/rechte eind hebben,gelijk hebben,,2292
Een kaars voor de duivel branden,Bij iedereen slijmen,,2293
de bijl aan de wortel leggen,het kwaad in de oorsprong trachten uit te roeien,,2294
ergens vaart achter zetten,het snel doen verlopen,,2295
een tien met een griffel en een zoen van de juffrouw,in de volksmond: De beste beloning voor een 19e eeuws schoolkind,,2296
zijn kinderen in het wild laten opgroeien,zijn kinderen geen (of een slechte) opvoeding geven,,2297
dweilen met de kraan open,"geen kans op succes hebben, omdat men de symptomen bestrijdt zonder de oorzaak aan te pakken",,2298
iemand op zijn voorman zetten,iemand nadrukkelijk op zijn plicht wijzen,,2299
het huisje bij het schuurtje houden/laten,geen onnodige uitgaven doen,,2300
vliegt de blauwvoet storm op zee,leuze van de Vlaamse nationalisten (ontleend aan Conscience),,2301
zo arm als Job,niets meer hebben,,2302
koeien met gouden horens beloven,het onmogelijke beloven,,2303
ongeluk komt zelden alleen.,een tegenslag wordt vaak gevolgd door nog meer problemen,,2304
met de handen in het haar zitten,geen oplossing meer weten,,2305
een bedrijvige Martha zijn,een zeer ijverige vrouw zijn,,2306
de drie h s op de rug hebben,"vast zitten, niet weg kunnen komen",,2307
geen veer van de mond kunnen blazen,"heel zwak zijn, heel arm zijn",,2308
